id,candidate,votes,state,county/township
368,trump,3350,CT,Somers
311,clinton,7717,CT,South Windsor
311,trump,6449,CT,South Windsor
328,clinton,4913,CT,Southbury
328,trump,6010,CT,Southbury
293,clinton,9890,CT,Southington
293,trump,12383,CT,Southington
431,clinton,520,CT,Sprague
431,trump,828,CT,Sprague
365,clinton,2286,CT,Stafford
365,trump,3344,CT,Stafford
314,clinton,8586,CT,Stamford
314,trump,5304,CT,Stamford
427,clinton,478,CT,Sterling
427,trump,1097,CT,Sterling
335,clinton,5635,CT,Stonington
335,trump,4081,CT,Stonington
291,clinton,13729,CT,Stratford
291,trump,10534,CT,Stratford
353,clinton,3334,CT,Suffield
353,trump,3789,CT,Suffield
393,clinton,1152,CT,Thomaston
